priority,field1,match_type1,pattern1,field2,match_type2,pattern2,category,price_group_hint,note
5,Internal Model,contains,IVSS,,,,IVSS,IVSS,auto-learn seed: Internal Model contains IVSS
6,Internal Model,contains,EVS,,,,EVS,EVS,auto-learn seed: Internal Model contains EVS
7,Internal Model,contains,XVR,,,,XVR,XVR,auto-learn seed: Internal Model contains XVR
8,Internal Model,contains,MNVR,,,,车载后端,车载,auto-learn seed: Internal Model contains MNVR
9,First Product Line,equals,Dahua Auto,Second Product Line,equals,Auto Terminal,车载后端,车载,auto-learn seed: Dahua Auto / Auto Terminal
10,First Product Line,equals,HDCVI,Second Product Line,equals,HDCVI Camera,HAC,HAC,"auto-learn dominant first+second (6207, purity=1.000)"
11,First Product Line,equals,IPC,Second Product Line,equals,IP Camera for Distributors,IPC,IPC,"auto-learn dominant first+second (3404, purity=1.000)"
12,First Product Line,equals,IPC,Second Product Line,equals,IP Camera for Industries,IPC,IPC,"auto-learn dominant first+second (2575, purity=1.000)"
13,First Product Line,equals,General Storage,Second Product Line,equals,HCVR,XVR,XVR,"auto-learn dominant first+second (2270, purity=1.000)"
14,First Product Line,equals,Storage Product,Second Product Line,equals,NVR,NVR,NVR,"auto-learn dominant first+second (1849, purity=0.999)"
15,First Product Line,equals,Storage Product,Second Product Line,equals,HCVR,XVR,XVR,"auto-learn dominant first+second (1188, purity=1.000)"
16,First Product Line,equals,Intelligent Building,Second Product Line,equals,Video Door Phone,VDP,VDP,"auto-learn dominant first+second (1154, purity=1.000)"
17,First Product Line,equals,Accessory,Second Product Line,equals,Camera mount,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (990, purity=1.000)"
18,First Product Line,equals,DAHUA ISCAN,Second Product Line,equals,Electronic Anti-theft System (EAS),安检机,安检,"auto-learn dominant first+second (680, purity=1.000)"
19,First Product Line,equals,TPC Camera,Second Product Line,equals,General Thermal Device,THERMAL,THERMAL,"auto-learn dominant first+second (655, purity=1.000)"
20,First Product Line,equals,Basic Network,Second Product Line,equals,General Network Switch,IT交换机路由器,TRANSMISSION,"auto-learn dominant first+second (541, purity=1.000)"
21,First Product Line,equals,PTZ,Second Product Line,equals,PTZ Camera for Distributors,PTZ,PTZ,"auto-learn dominant first+second (522, purity=1.000)"
22,First Product Line,equals,Intelligent Building,Second Product Line,equals,Access Control,ACCESS CONTROL,ACCESS CONTROL,"auto-learn dominant first+second (469, purity=1.000)"
23,First Product Line,equals,Intelligent Traffic,Second Product Line,equals,Smart Parking,交通,交通/停车场,"auto-learn dominant first+second (463, purity=1.000)"
24,First Product Line,equals,Thermal Camera,Second Product Line,equals,Thermal Camera,THERMAL,THERMAL,"auto-learn dominant first+second (435, purity=1.000)"
25,First Product Line,equals,Commercial Display,Second Product Line,equals,Indoor LED Display,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (432, purity=1.000)"
26,First Product Line,equals,IPC,Second Product Line,equals,IOT Camera,IPC,IPC,"auto-learn dominant first+second (380, purity=1.000)"
27,First Product Line,equals,Accessory,Second Product Line,equals,Cabling,ACCESSORY线缆,ACCESSORY线缆,"auto-learn dominant first+second (375, purity=1.000)"
28,First Product Line,equals,Dahua Auto,Second Product Line,equals,Auto Camera,车载前端,车载,"auto-learn dominant first+second (356, purity=1.000)"
29,First Product Line,equals,Commercial Display,Second Product Line,equals,Media Publish System,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (347, purity=1.000)"
30,First Product Line,equals,IPC,Second Product Line,equals,Special IP Camera,IPC,IPC,"auto-learn dominant first+second (314, purity=1.000)"
31,First Product Line,equals,Intelligent Traffic,Second Product Line,equals,ITC,交通,交通/停车场,"auto-learn dominant first+second (310, purity=1.000)"
32,First Product Line,equals,Alarm,Second Product Line,equals,Wireless Alarm,ALARM,ALARM,"auto-learn dominant first+second (296, purity=1.000)"
33,First Product Line,equals,TPC Camera,Second Product Line,equals,Business Vision,THERMAL,THERMAL,"auto-learn dominant first+second (289, purity=1.000)"
34,First Product Line,equals,Commercial Display,Second Product Line,equals,Display,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (288, purity=1.000)"
35,First Product Line,equals,PTZ,Second Product Line,equals,PTZ Camera for Industries,PTZ,PTZ,"auto-learn dominant first+second (278, purity=1.000)"
36,First Product Line,equals,Basic Network,Second Product Line,equals,High-end Network Switch,IT交换机路由器,TRANSMISSION L3,"auto-learn dominant first+second (275, purity=1.000)"
37,First Product Line,equals,Commercial Display,Second Product Line,equals,Monitor,监视器,监视器,"auto-learn dominant first+second (264, purity=1.000)"
38,First Product Line,equals,Commercial Display,Second Product Line,equals,LCD Video Wall,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (246, purity=1.000)"
39,First Product Line,equals,PTZ,Second Product Line,equals,Specialized PTZ Camera,PTZ,PTZ,"auto-learn dominant first+second (234, purity=1.000)"
40,First Product Line,equals,Central Control,Second Product Line,equals,Display Control,键盘/解码器,键盘/解码器,"auto-learn dominant first+second (224, purity=1.000)"
41,First Product Line,equals,Intelligent Building,Second Product Line,equals,Pedestrian Turnstile,电子防盗门,电子防盗门,"auto-learn dominant first+second (213, purity=1.000)"
42,First Product Line,equals,PTZ,Second Product Line,equals,HDCVI PTZ Camera,PTZ,PTZ,"auto-learn dominant first+second (205, purity=1.000)"
43,First Product Line,equals,Basic Network,Second Product Line,equals,Enterprise Wi-Fi,IT交换机路由器,TRANSMISSION,"auto-learn dominant first+second (205, purity=1.000)"
44,First Product Line,equals,Dahua,Second Product Line,equals,HDD,硬盘/存储介质,硬盘/存储介质,"auto-learn dominant first+second (176, purity=1.000)"
45,First Product Line,equals,Huafei Intelligence,Second Product Line,equals,UAV,IPC,IPC,"auto-learn dominant first+second (173, purity=1.000)"
46,First Product Line,equals,Basic Network,Second Product Line,equals,Industrial Network,IT交换机路由器,TRANSMISSION,"auto-learn dominant first+second (170, purity=1.000)"
47,First Product Line,equals,Overseas Software,Second Product Line,equals,Overseas Integrated Security Software,软件,软件,"auto-learn dominant first+second (168, purity=1.000)"
