priority,field1,match_type1,pattern1,field2,match_type2,pattern2,category,price_group_hint,note
5,Internal Model,contains,IVSS,,,,IVSS,IVSS,auto-learn seed: Internal Model contains IVSS
6,Internal Model,contains,EVS,,,,EVS,EVS,auto-learn seed: Internal Model contains EVS
7,Internal Model,contains,XVR,,,,XVR,XVR,auto-learn seed: Internal Model contains XVR
8,Internal Model,contains,MNVR,,,,车载后端,车载,auto-learn seed: Internal Model contains MNVR
9,First Level Product Category,equals,General Customized Product,Series,equals,Wireless Alarm,ALARM,ALARM,auto-learn seed: General Customized Product / Wireless Alarm
10,First Level Product Category,equals,Mobile,Series,equals,Auto Terminal,车载后端,车载,auto-learn seed: Mobile / Auto Terminal
11,First Level Product Category,equals,Account,Series,equals,IP Camera for Distributors,IPC,IPC,auto-learn seed: Account / IP Camera for Distributors
12,First Level Product Category,equals,others,Series,equals,XVR-5 Series,XVR,XVR,"auto-learn exception from impure combo: (others, others)"
13,First Level Product Category,equals,others,Series,equals,HCVR,XVR,XVR,"auto-learn exception from impure combo: (others, others)"
14,First Level Product Category,equals,others,Series,equals,Monitor,监视器,监视器,"auto-learn exception from impure combo: (others, others)"
15,First Level Product Category,equals,others,Series,equals,EVS,EVS,EVS,"auto-learn exception from impure combo: (others, others)"
16,First Level Product Category,equals,others,Series,equals,Intelligent Video Surveillance Server,IVSS,IVSS,"auto-learn exception from impure combo: (others, others)"
17,First Level Product Category,equals,General Customized Product,Series,equals,HAC-3 Series,HAC,HAC,"auto-learn exception from impure combo: (General Customized Product, others)"
18,First Level Product Category,equals,Account,Series,equals,Access Control,ACCESS CONTROL,ACCESS CONTROL,"auto-learn exception from impure combo: (Account, TEVAH SYSTEMS)"
19,First Level Product Category,equals,others,Second Level Product Category,equals,others,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (901, purity=0.943)"
20,First Level Product Category,equals,Network Cameras,Second Level Product Category,equals,WizSense Series,IPC,IPC,"auto-learn dominant first+second (393, purity=1.000)"
21,First Level Product Category,equals,Network Cameras,Second Level Product Category,equals,WizMind Series,IPC,IPC,"auto-learn dominant first+second (296, purity=1.000)"
22,First Level Product Category,equals,HDCVI Cameras,Second Level Product Category,equals,Lite Series,HAC,HAC,"auto-learn dominant first+second (264, purity=1.000)"
23,First Level Product Category,equals,Accessories,Second Level Product Category,equals,Camera Accessories,ACCESSORY,ACCESSORY,"auto-learn dominant first+second (216, purity=1.000)"
24,First Level Product Category,equals,Transmission,Second Level Product Category,equals,IP Transmission,TRANSMISSION,TRANSMISSION,"auto-learn dominant first+second (182, purity=1.000)"
25,First Level Product Category,equals,Thermal Cameras,Second Level Product Category,equals,Pro Series,THERMAL,THERMAL,"auto-learn dominant first+second (123, purity=1.000)"
26,First Level Product Category,equals,Video Intercoms,Second Level Product Category,equals,IP Products,VDP,VDP,"auto-learn dominant first+second (112, purity=1.000)"
27,First Level Product Category,equals,Network Recorders,Second Level Product Category,equals,WizSense Series,NVR,NVR,"auto-learn dominant first+second (92, purity=1.000)"
28,First Level Product Category,equals,HDCVI Recorders,Second Level Product Category,equals,WizSense Series,XVR,XVR,"auto-learn dominant first+second (76, purity=1.000)"
29,First Level Product Category,equals,Accessories,Second Level Product Category,equals,Cabling,ACCESSORY线缆,ACCESSORY线缆,"auto-learn dominant first+second (73, purity=1.000)"
30,First Level Product Category,equals,HDCVI Cameras,Second Level Product Category,equals,Pro Series,HAC,HAC,"auto-learn dominant first+second (72, purity=1.000)"
31,First Level Product Category,equals,PTZ Cameras,Second Level Product Category,equals,WizSense Series,PTZ,PTZ,"auto-learn dominant first+second (62, purity=1.000)"
32,First Level Product Category,equals,Software,Second Level Product Category,equals,DSS,软件,软件,"auto-learn dominant first+second (60, purity=1.000)"
33,First Level Product Category,equals,Alarms,Second Level Product Category,equals,Wireless Alarm,ALARM,ALARM,"auto-learn dominant first+second (56, purity=1.000)"
34,First Level Product Category,equals,Wireless Cameras,Second Level Product Category,equals,Wi-Fi Series,IPC,IPC,"auto-learn dominant first+second (55, purity=1.000)"
35,First Level Product Category,equals,Access Control&Time Attendance,Second Level Product Category,equals,Access Control,ACCESS CONTROL,ACCESS CONTROL,"auto-learn dominant first+second (52, purity=1.000)"
36,First Level Product Category,equals,Security Inspection Equipment,Second Level Product Category,equals,EAS,安检机,安检机,"auto-learn dominant first+second (49, purity=1.000)"
37,First Level Product Category,equals,Display,Second Level Product Category,equals,Monitors,监视器,监视器,"auto-learn dominant first+second (47, purity=1.000)"
38,First Level Product Category,equals,Display,Second Level Product Category,equals,Digital Signage,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (46, purity=1.000)"
39,First Level Product Category,equals,Thermal Cameras,Second Level Product Category,equals,Ultra,THERMAL,THERMAL,"auto-learn dominant first+second (46, purity=1.000)"
40,First Level Product Category,equals,Video Intercoms,Second Level Product Category,equals,2-wire Hybrid Products,VDP,VDP,"auto-learn dominant first+second (43, purity=1.000)"
41,First Level Product Category,equals,Network Recorders,Second Level Product Category,equals,WizMind Series,NVR,NVR,"auto-learn dominant first+second (41, purity=1.000)"
42,First Level Product Category,equals,Network Recorders,Second Level Product Category,equals,Lite Series,NVR,NVR,"auto-learn dominant first+second (41, purity=1.000)"
43,First Level Product Category,equals,Access Control&Time Attendance,Second Level Product Category,equals,Turnstiles,ACCESS CONTROL,ACCESS CONTROL,"auto-learn dominant first+second (39, purity=1.000)"
44,First Level Product Category,equals,Display,Second Level Product Category,equals,LED Displays,商显/TV-WALL,商显/TV-WALL,"auto-learn dominant first+second (32, purity=1.000)"
45,First Level Product Category,equals,Transmission,Second Level Product Category,equals,Wireless,TRANSMISSION,TRANSMISSION,"auto-learn dominant first+second (29, purity=1.000)"
46,First Level Product Category,equals,Thermal Cameras,Second Level Product Category,equals,Vertical Special,THERMAL,THERMAL,"auto-learn dominant first+second (28, purity=1.000)"
47,First Level Product Category,equals,Intelligent EV Charging,Second Level Product Category,equals,AC Charger,充电桩,充电桩,"auto-learn dominant first+second (28, purity=1.000)"
